"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191925149680 s,1,0,1,0,0,1,1,1,0,0,0,0
-8.190925158480 s,1,1,0,1,1,0,0,1,1,1,1,0
-8.189925167520 s,1,1,1,0,0,1,0,1,0,1,1,1
-8.188925176560 s,1,0,1,1,1,0,1,1,1,1,1,0
-8.187925185920 s,1,0,1,0,0,1,1,1,0,0,0,0
-8.186925194720 s,1,1,1,0,0,0,1,1,1,1,1,0
-8.185925204320 s,0,1,1,0,0,1,0,1,0,1,1,1
-8.184925213360 s,0,0,0,0,1,1,0,1,1,1,1,0
-8.183925222800 s,0,0,1,0,0,1,1,1,0,0,0,0
-8.182925231120 s,1,1,0,0,1,1,1,1,1,1,1,0
-8.181925240560 s,0,1,1,0,0,1,0,1,0,1,1,1
-8.180925250160 s,0,0,1,0,0,0,0,1,1,1,1,0
-8.179925259120 s,0,1,1,0,0,1,1,1,0,0,0,0
-8.178925268400 s,0,0,1,1,1,0,0,0,0,0,0,1
-8.177925277360 s,1,1,0,0,0,1,0,1,0,1,1,1
-8.176925286560 s,0,0,0,1,1,0,1,0,1,1,1,0
-8.175925295840 s,1,0,0,1,0,1,1,1,0,0,0,0
-8.174925305040 s,0,1,0,1,0,0,1,0,0,0,0,1
-8.173925313520 s,1,1,1,1,1,0,0,1,0,1,1,1
-8.172925323040 s,0,0,1,1,0,1,0,0,1,1,1,0
-8.171925332320 s,0,0,1,1,0,1,1,1,0,0,0,0
-8.170925341520 s,1,1,0,0,1,1,1,0,0,0,0,1
-8.169925350160 s,1,0,1,1,1,0,0,1,0,1,1,1
-8.168925359040 s,1,0,1,1,1,1,1,1,0,1,1,0
-8.167925368560 s,1,1,1,1,0,1,1,1,0,0,0,0
-8.166925378320 s,0,0,1,0,0,1,0,1,0,0,0,1
-8.165925386880 s,0,0,0,1,1,0,0,1,0,1,1,1
-8.164925396080 s,0,0,1,0,1,0,1,1,0,1,1,0
-8.163925405120 s,0,1,1,0,1,1,1,1,0,0,0,0
-8.162925414480 s,1,1,1,1,0,0,1,1,0,0,0,1
-8.161925423520 s,1,1,0,0,1,0,0,1,0,1,1,1
-8.160925432640 s,1,1,1,0,0,1,0,1,0,1,1,0
-8.159925441840 s,0,0,1,1,1,1,1,1,0,0,0,0
-8.158925450800 s,1,0,0,1,1,1,1,1,0,0,0,1
-8.157925460160 s,1,1,0,1,0,0,0,1,0,1,1,1
-8.156925469280 s,1,0,0,1,1,1,1,0,0,1,1,0
-8.155925478960 s,0,1,1,0,0,0,0,0,1,0,0,0
-8.154925487680 s,1,0,1,0,0,1,0,0,1,0,0,1
-8.153925496880 s,0,0,1,0,0,0,0,1,0,1,1,1
-8.152925505600 s,0,1,0,0,1,0,1,0,0,1,1,0
-8.151925515520 s,0,0,0,0,1,0,0,0,1,0,0,0
-8.150925524240 s,1,1,0,0,1,0,1,0,1,0,0,1
-8.149925532800 s,0,0,0,1,1,1,1,0,0,1,1,1
-8.148925542640 s,0,0,1,0,0,1,0,0,0,1,1,0
-8.147925552000 s,1,1,1,0,1,0,0,0,1,0,0,0
-8.146925560480 s,0,1,0,1,1,1,1,0,1,0,0,1
-8.145925569680 s,1,0,1,1,0,1,1,0,0,1,1,1
-8.144925578640 s,1,1,1,0,1,1,1,1,1,0,1,0
-8.143925588480 s,1,1,0,0,0,1,0,0,1,0,0,0
-8.142925597440 s,0,0,0,1,0,1,0,1,1,0,0,1
-8.141925606320 s,0,1,0,0,0,1,1,0,0,1,1,1
-8.140925615760 s,0,0,0,0,1,0,1,1,1,0,1,0
-8.139925624800 s,1,1,1,1,0,1,0,0,1,0,0,0
-8.138925633760 s,0,0,1,0,1,0,1,1,1,0,0,1
-8.137925642560 s,0,1,1,0,1,0,1,0,0,1,1,1
-8.136925652320 s,1,1,0,0,0,1,0,1,1,0,1,0
-8.135925661280 s,0,0,1,1,1,1,0,0,1,0,0,0
-8.134925670000 s,1,1,0,1,1,1,1,1,1,0,0,1
-8.133925679680 s,1,0,0,1,0,0,1,0,0,1,1,1
-8.132925688800 s,0,0,0,1,1,1,1,0,1,0,1,0
-8.131925697760 s,0,1,1,1,0,0,1,0,1,0,0,0
-8.130925706880 s,1,1,1,0,0,1,0,0,0,1,0,1
-8.129925716000 s,0,1,1,0,1,1,0,0,0,1,1,1
-8.128925725360 s,0,1,0,0,1,0,1,0,1,0,1,0
-8.127925734240 s,1,0,1,1,1,0,1,0,1,0,0,0
-8.126925743600 s,1,0,0,0,1,0,1,0,0,1,0,1
-8.125925752320 s,0,1,1,0,0,1,0,0,0,1,1,1
-8.124925761680 s,1,1,1,0,0,1,0,0,1,0,1,0
-8.123925771120 s,1,0,0,1,0,1,1,0,1,0,0,0
-8.122925779920 s,1,0,0,1,1,1,1,0,0,1,0,1
-8.121925789040 s,0,0,0,1,1,0,0,0,0,1,1,1
-8.120925797840 s,0,1,1,1,1,1,1,1,0,0,1,0
-8.119925807120 s,0,1,1,1,1,1,1,0,1,0,0,0
-8.118925816800 s,1,1,0,0,0,1,0,1,0,1,0,1
-8.117925826000 s,1,0,1,0,0,0,0,0,0,1,1,1
-8.116925834640 s,1,1,1,0,1,0,1,1,0,0,1,0
-8.115925844240 s,0,1,0,0,1,0,0,1,1,0,0,0
-8.114925852960 s,1,1,0,1,0,0,1,1,0,1,0,1
-8.113925861760 s,0,1,0,0,1,1,1,1,1,0,1,1
-8.112925871520 s,1,0,1,1,0,1,0,1,0,0,1,0
-8.111925880960 s,1,0,1,0,0,1,0,1,1,0,0,0
-8.110925889200 s,1,1,1,1,0,1,1,1,0,1,0,1
-8.109925898080 s,0,1,1,1,1,0,1,1,1,0,1,1
-8.108925908400 s,1,0,0,1,0,0,0,1,0,0,1,0
-8.107925917120 s,1,1,1,0,1,1,0,1,1,0,0,0
-8.106925926400 s,1,0,0,1,1,0,0,0,1,1,0,1
-8.105925935360 s,1,0,0,1,0,0,1,1,1,0,1,1
-8.104925944800 s,0,0,0,0,0,1,1,0,0,0,1,0
-8.103925953760 s,1,0,0,0,1,0,1,1,1,0,0,0
-8.102925962240 s,1,1,1,1,1,1,0,0,1,1,0,1
-8.101925971760 s,0,1,0,0,1,1,0,1,1,0,1,1
-8.100925981360 s,1,0,0,1,1,1,0,0,0,0,1,0
-8.099925990240 s,0,1,1,0,0,1,1,1,1,0,0,0
-8.098925999040 s,0,1,1,0,0,1,1,0,1,1,0,1
-8.097926008240 s,1,0,1,1,1,0,0,1,1,0,1,1
-8.096926017760 s,0,1,1,0,1,0,0,0,0,0,1,0
-8.095926026720 s,0,0,1,1,1,1,1,1,1,0,0,0
-8.094926035920 s,1,1,0,1,0,0,0,1,1,1,0,1
-8.093926045120 s,1,0,1,0,0,0,0,1,1,0,1,1
-8.092926054000 s,0,0,0,0,1,1,1,1,1,1,0,0
-8.091926063600 s,0,1,1,0,1,0,0,0,0,1,0,0
-8.090926071920 s,1,1,1,1,0,1,0,1,1,1,0,1
-8.089926081200 s,1,1,0,1,0,1,1,0,1,0,1,1
-8.088926090720 s,0,1,0,1,0,0,1,1,1,1,0,0
-8.087926099920 s,1,1,1,1,0,1,0,0,0,1,0,0
-8.086926108640 s,1,0,1,0,1,0,1,1,1,1,0,1
-8.085926117920 s,0,1,0,0,1,0,1,0,1,0,1,1
-8.084926127520 s,0,0,0,1,0,1,0,1,1,1,0,0
-8.083926136800 s,0,0,1,1,0,0,1,0,0,1,0,0
-8.082926144880 s,0,1,1,0,1,1,1,1,1,1,0,1
-8.081926154640 s,1,0,1,0,1,1,0,0,1,0,1,1
-8.080926163840 s,0,1,1,0,0,0,0,1,1,1,0,0
-8.079926173040 s,0,1,1,0,0,1,1,0,0,1,0,0
-8.078926182080 s,0,0,1,1,1,0,0,0,0,0,1,1
-8.077926191200 s,1,1,0,1,1,0,0,0,1,0,1,1
-8.076926200480 s,1,1,0,0,0,1,1,0,1,1,0,0
-8.075926209360 s,1,1,1,1,1,1,1,0,0,1,0,0
-8.074926218640 s,1,1,0,1,1,1,0,0,0,0,1,1
-8.073926227360 s,0,0,1,1,1,1,1,1,0,0,1,1
-8.072926237120 s,0,1,0,0,0,0,1,0,1,1,0,0
-8.071926246000 s,1,1,1,1,1,0,0,1,0,1,0,0
-8.070926255120 s,1,0,1,1,1,0,1,0,0,0,1,1
-8.069926264480 s,1,0,0,0,0,1,1,1,0,0,1,1
-8.068926273760 s,0,0,0,0,0,1,0,0,1,1,0,0
-8.067926282800 s,1,0,0,1,1,1,0,1,0,1,0,0
-8.066926291360 s,1,0,1,1,1,1,1,0,0,0,1,1
-8.065926301040 s,1,1,0,0,0,0,1,1,0,0,1,1
-8.064926310560 s,0,1,0,0,0,0,0,0,1,1,0,0
-8.063926319040 s,0,1,0,1,1,0,1,1,0,1,0,0
-8.062926328160 s,1,1,1,1,1,0,0,1,0,0,1,1
-8.061926337520 s,0,0,1,0,0,1,0,1,0,0,1,1
-8.060926346800 s,0,0,0,0,0,1,1,1,0,1,0,0
-8.059926355680 s,0,1,0,1,1,1,1,1,0,1,0,0
-8.058926364480 s,0,0,1,1,1,1,0,1,0,0,1,1
-8.057926374000 s,0,1,1,0,0,0,0,1,0,0,1,1
-8.056926383520 s,0,1,0,0,0,0,1,1,0,1,0,0
-8.055926392320 s,0,1,0,1,1,0,0,0,1,1,0,0
-8.054926401200 s,0,0,1,1,1,0,1,1,0,0,1,1
-8.053926410640 s,1,1,0,0,0,1,1,0,0,0,1,1
-8.052926419920 s,1,0,1,0,0,1,0,1,0,1,0,0
-8.051926428880 s,1,0,0,1,1,1,0,0,1,1,0,0
-8.050926438000 s,0,0,0,1,1,1,1,1,0,0,1,1
-8.049926447200 s,1,0,1,0,0,0,1,0,0,0,1,1
-8.048926456480 s,1,1,1,0,0,0,0,1,0,1,0,0
-8.047926465360 s,0,0,1,1,1,0,1,0,1,1,0,0
-8.046926474400 s,0,1,1,0,1,0,0,0,1,0,1,1
-8.045926484000 s,0,1,0,0,0,1,0,0,0,0,1,1
-8.044926492800 s,0,0,1,1,0,1,1,0,0,1,0,0
-8.043926501840 s,1,0,1,1,1,1,1,0,1,1,0,0
-8.042926511040 s,0,0,0,0,1,1,0,0,1,0,1,1
-8.041926519600 s,1,1,0,1,1,1,1,1,1,1,0,1
-8.040926529760 s,0,1,0,0,1,0,1,0,0,1,0,0
-8.039926538640 s,0,0,0,0,0,1,0,1,1,1,0,0
-8.038926547680 s,1,1,0,1,0,0,1,0,1,0,1,1
-8.037926556240 s,1,1,0,1,1,0,1,1,1,1,0,1
-8.036926566240 s,1,1,0,0,1,1,0,0,0,1,0,0
-8.035926574960 s,1,1,1,0,0,0,1,1,1,1,0,0
-8.034926584320 s,1,0,1,0,0,1,1,0,1,0,1,1
-8.033926593200 s,1,0,1,0,1,1,0,1,1,1,0,1
-8.032926602880 s,0,0,1,1,1,0,0,0,0,1,0,0
-8.031926611280 s,0,0,0,1,0,1,1,1,1,1,0,0
-8.030926620240 s,0,1,1,1,1,1,1,0,1,0,1,1
-8.029926629920 s,0,0,1,0,1,0,0,1,1,1,0,1
-8.028926639680 s,1,0,1,0,0,0,0,0,0,1,0,0
-8.027926648400 s,1,1,1,1,0,0,0,0,0,0,1,0
-8.026926656880 s,1,1,1,0,1,0,0,1,1,0,1,1
-8.025926666000 s,0,0,1,1,0,1,1,0,1,1,0,1
-8.024926675440 s,1,1,0,1,0,1,1,1,1,0,0,0
-8.023926684880 s,1,1,0,0,1,1,0,0,0,0,1,0
-8.022926693600 s,0,0,1,1,0,1,0,1,1,0,1,1
-8.021926702880 s,1,1,1,0,0,0,1,0,1,1,0,1
-8.020926711920 s,0,1,1,0,1,0,1,1,1,0,0,0
-8.019926721680 s,0,1,0,1,1,0,1,0,0,0,1,0
-8.018926730400 s,1,0,1,0,0,0,1,1,1,0,1,1
-8.017926739760 s,0,1,0,0,0,1,0,0,1,1,0,1
-8.016926748960 s,1,1,0,0,0,0,1,1,1,0,0,0
-8.015926758400 s,1,0,0,0,0,0,0,1,0,0,1,0
-8.014926766480 s,1,1,1,0,1,0,1,1,1,0,1,1
-8.013926776080 s,1,0,0,1,1,1,1,1,0,1,0,1
-8.012926785440 s,0,1,0,1,0,1,0,1,1,0,0,0
-8.011926794720 s,0,0,0,1,0,1,0,1,0,0,1,0
-8.010926802880 s,1,0,1,1,0,1,1,1,1,0,1,1
-8.009926812800 s,0,0,1,0,1,0,1,1,0,1,0,1
-8.008926822240 s,0,0,0,1,1,0,0,1,1,0,0,0
-8.007926831120 s,0,0,0,0,1,0,1,1,0,0,1,0
-8.006926839360 s,1,1,1,1,1,1,1,1,1,0,1,1
-8.005926849120 s,0,1,0,1,0,1,0,1,0,1,0,1
-8.004926858720 s,1,0,1,0,0,0,0,1,1,0,0,0
-8.003926867200 s,1,1,1,0,1,1,1,1,0,0,1,0
-8.002926876800 s,1,1,0,0,1,0,0,0,0,1,1,1
-8.001926886080 s,1,1,0,0,0,0,0,1,0,1,0,1
-8.000926895040 s,1,1,0,0,1,1,1,0,1,0,0,0
-7.999926903920 s,1,1,1,1,1,0,0,0,1,0,1,0
-7.998926912960 s,0,1,0,0,0,1,0,0,0,1,1,1
-7.997926922320 s,0,1,0,1,1,0,1,0,0,1,0,1
-7.996926931840 s,1,1,0,0,0,1,1,0,1,0,0,0
-7.995926940880 s,1,0,0,1,0,0,1,0,1,0,1,0
-7.994926949680 s,1,1,0,0,1,1,0,0,0,1,1,1
-7.993926958800 s,1,1,1,1,0,1,0,0,0,1,0,1
-7.992926968160 s,0,0,1,0,1,0,1,0,1,0,0,0
-7.991926977040 s,0,1,0,0,1,1,1,0,1,0,1,0
