"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191925152480 s,1,1,0,0,1,1,1,1,1,1,1,0
-8.190925162400 s,1,0,0,1,0,0,0,1,1,0,1,0
-8.189925171120 s,1,0,0,1,1,0,1,0,1,1,0,0
-8.188925180480 s,1,0,1,1,1,0,0,1,1,0,0,0
-8.187925189760 s,1,1,0,0,0,0,0,1,0,0,0,0
-8.186925198880 s,1,1,0,0,0,1,0,0,0,0,0,0
-8.185925208080 s,0,0,1,1,0,0,0,1,0,0,0,0
-8.184925216960 s,0,0,1,1,0,1,0,1,1,0,0,0
-8.183925225760 s,1,1,1,1,0,1,1,0,1,1,0,0
-8.182925235280 s,1,0,1,0,0,1,0,1,1,0,1,0
-8.181925244800 s,1,0,0,0,1,0,0,0,0,0,0,1
-8.180925253120 s,1,1,1,0,1,1,1,0,0,1,0,1
-8.179925262640 s,0,0,0,1,1,0,0,1,0,0,1,1
-8.178925271520 s,1,0,1,0,1,1,0,0,0,1,1,1
-8.177925280720 s,1,1,0,1,0,1,0,0,1,1,1,1
-8.176925289920 s,1,0,0,0,0,1,1,0,1,1,1,1
-8.175925298480 s,0,1,1,0,1,0,1,1,0,1,1,1
-8.174925308320 s,0,0,0,0,1,0,0,1,1,0,1,1
-8.173925317120 s,0,1,0,0,1,1,0,1,1,1,0,1
-8.172925326560 s,1,0,1,1,0,1,1,0,1,0,0,1
-8.171925335120 s,0,1,1,1,1,1,1,1,0,1,1,0
-8.170925344960 s,1,1,0,0,0,1,0,1,0,0,1,0
-8.169925354080 s,0,1,0,1,1,0,0,1,0,1,0,0
-8.168925363360 s,1,0,0,1,1,0,0,0,1,0,0,0
-8.167925372320 s,0,1,1,0,0,0,1,0,0,0,0,0
-8.166925381760 s,0,1,0,0,1,1,0,0,0,0,0,0
-8.165925390800 s,1,0,1,0,0,1,1,1,0,0,0,0
-8.164925399680 s,0,1,1,1,0,0,1,0,0,1,0,0
-8.163925409040 s,1,1,0,0,0,0,1,0,0,0,1,0
-8.162925417760 s,0,1,1,0,1,0,0,1,0,1,1,0
-8.161925427200 s,0,0,0,1,0,0,0,0,1,0,0,1
-8.160925436160 s,1,0,0,1,1,0,1,0,1,1,0,1
-8.159925445360 s,0,0,1,1,0,0,1,0,1,0,1,1
-8.158925454160 s,1,1,0,1,0,1,0,1,0,1,1,1
-8.157925463200 s,0,0,1,1,1,0,1,0,1,1,1,1
-8.156925472640 s,1,1,0,0,0,0,1,0,1,1,1,1
-8.155925481600 s,1,1,1,0,0,1,1,0,0,1,1,1
-8.154925490880 s,0,1,0,0,0,1,1,1,0,0,1,1
-8.153925500160 s,1,0,0,1,1,0,1,1,0,1,0,1
-8.152925509120 s,0,0,0,1,1,1,1,0,0,0,0,1
-8.151925518560 s,1,0,1,1,0,0,0,0,0,1,1,0
-8.150925527440 s,0,0,1,1,0,0,1,1,1,1,0,0
-8.149925536400 s,1,1,1,1,0,1,1,1,1,0,0,0
-8.148925546080 s,1,1,1,1,0,1,0,1,0,0,0,0
-8.147925555200 s,1,1,1,0,0,1,0,0,0,0,0,0
-8.146925564320 s,1,1,0,0,0,1,1,0,0,0,0,0
-8.145925573200 s,1,0,1,1,1,0,1,0,1,0,0,0
-8.144925582560 s,0,0,1,0,0,0,0,0,1,1,0,0
-8.143925591760 s,1,1,0,0,0,1,0,0,1,0,1,0
-8.142925600240 s,1,0,1,1,0,0,0,1,1,1,1,0
-8.141925609520 s,0,0,0,1,1,1,1,1,1,0,0,1
-8.140925619040 s,1,0,0,1,0,1,0,0,0,0,1,1
-8.139925627840 s,1,0,0,1,0,1,1,1,1,0,1,1
-8.138925637040 s,1,1,1,0,0,0,0,0,1,1,1,1
