"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191925726720 s,1,1,1,1,1,0,1,1,1,1,1,0
-8.190925736480 s,1,0,1,1,0,0,1,1,1,0,0,1
-8.189925745120 s,0,1,1,1,0,1,0,1,1,1,1,0
-8.188925754880 s,1,1,0,0,0,0,1,1,1,0,1,0
-8.187925763520 s,1,1,0,1,0,1,1,1,1,1,1,0
-8.186925772560 s,0,1,1,1,0,0,1,1,1,0,0,1
-8.185925781840 s,1,0,0,0,0,1,0,1,1,1,1,0
-8.184925790960 s,0,1,1,0,0,0,1,1,1,0,1,0
-8.183925799360 s,1,0,0,1,1,1,1,1,1,1,1,0
-8.182925809040 s,1,0,1,1,0,0,1,1,1,0,0,1
-8.181925818240 s,1,1,0,0,1,0,0,1,1,1,1,0
-8.180925827280 s,0,1,1,0,0,0,1,1,1,0,1,0
-8.179925836720 s,1,0,1,0,0,0,0,0,0,0,0,1
-8.178925845200 s,0,0,1,1,0,0,1,1,1,0,0,1
-8.177925854640 s,0,0,0,1,0,0,0,1,1,1,1,0
-8.176925863760 s,1,0,0,1,0,0,1,1,1,0,1,0
-8.175925873040 s,0,1,0,0,1,0,0,0,0,0,0,1
-8.174925881680 s,0,1,0,1,0,0,1,1,1,0,0,1
-8.173925890480 s,0,0,0,1,1,1,1,0,1,1,1,0
-8.172925899760 s,0,0,1,1,0,0,1,1,1,0,1,0
-8.171925909280 s,0,0,1,1,1,0,0,0,0,0,0,1
-8.170925917520 s,1,1,1,0,0,0,1,1,1,0,0,1
-8.169925926880 s,1,0,1,1,0,1,1,0,1,1,1,0
-8.168925936160 s,0,0,1,1,0,0,1,1,1,0,1,0
-8.167925945280 s,0,1,0,1,0,1,0,0,0,0,0,1
-8.166925954080 s,0,1,1,0,0,0,1,1,1,0,0,1
-8.165925963120 s,1,1,1,1,1,0,1,0,1,1,1,0
-8.164925972080 s,1,1,1,1,0,0,1,1,1,0,1,0
-8.163925981600 s,1,1,1,0,1,1,0,0,0,0,0,1
-8.162925990720 s,1,1,0,0,0,0,1,1,1,0,0,1
-8.161925999600 s,1,0,1,0,1,0,1,0,1,1,1,0
-8.160926008560 s,0,1,0,0,1,0,1,1,1,0,1,0
-8.159926018160 s,1,0,1,0,0,0,1,0,0,0,0,1
-8.158926026240 s,0,1,1,1,1,1,0,1,1,0,0,1
-8.157926035680 s,0,0,0,1,0,0,1,0,1,1,1,0
-8.156926044880 s,0,0,1,0,1,0,1,1,1,0,1,0
-8.155926054400 s,1,0,0,0,1,0,1,0,0,0,0,1
-8.154926063120 s,1,0,0,1,1,1,0,1,1,0,0,1
-8.153926071920 s,0,1,0,1,1,1,0,0,1,1,1,0
-8.152926081280 s,0,0,0,1,1,0,1,1,1,0,1,0
-8.151926090160 s,0,0,1,1,1,0,1,0,0,0,0,1
-8.150926099120 s,0,1,1,0,1,1,0,1,1,0,0,1
-8.149926108400 s,1,0,1,1,0,1,0,0,1,1,1,0
-8.148926117120 s,1,1,0,1,1,0,1,1,1,0,1,0
-8.147926126880 s,1,0,0,1,0,1,1,0,0,0,0,1
-8.146926135680 s,1,0,0,0,1,1,0,1,1,0,0,1
-8.145926144560 s,0,1,0,0,0,1,0,0,1,1,1,0
-8.144926153440 s,0,1,1,1,1,0,1,1,1,0,1,0
-8.143926163040 s,1,1,0,0,1,1,1,0,0,0,0,1
-8.142926171680 s,0,1,1,1,0,1,0,1,1,0,0,1
-8.141926180880 s,1,1,1,0,1,0,0,0,1,1,1,0
-8.140926189840 s,1,0,1,0,0,1,1,1,1,0,1,0
-8.139926199600 s,0,0,1,0,0,0,0,1,0,0,0,1
-8.138926208160 s,0,1,0,1,0,1,0,1,1,0,0,1
-8.137926217360 s,1,1,0,1,0,0,0,0,1,1,1,0
-8.136926226320 s,0,0,0,1,0,1,1,1,1,0,1,0
-8.135926235200 s,0,1,1,1,0,0,0,1,0,0,0,1
-8.134926244560 s,1,0,1,0,0,1,0,1,1,0,0,1
-8.133926253200 s,0,0,1,1,1,1,1,1,0,1,1,0
-8.132926262320 s,1,0,1,1,0,1,1,1,1,0,1,0
-8.131926271680 s,0,1,0,1,1,0,0,1,0,0,0,1
-8.130926280480 s,1,1,1,1,1,0,0,1,1,0,0,1
-8.129926289200 s,1,1,1,1,0,1,1,1,0,1,1,0
-8.128926298560 s,1,1,0,0,1,1,1,1,1,0,1,0
-8.127926308400 s,0,1,1,0,0,1,0,1,0,0,0,1
-8.126926316800 s,0,1,0,1,1,0,0,1,1,0,0,1
-8.125926325920 s,1,0,1,0,0,1,1,1,0,1,1,0
-8.124926334800 s,0,0,0,1,1,1,1,1,1,0,1,0
-8.123926344320 s,0,1,0,0,1,1,0,1,0,0,0,1
-8.122926353120 s,0,1,1,0,1,0,0,1,1,0,0,1
-8.121926362400 s,1,0,0,1,1,0,1,1,0,1,1,0
-8.120926370960 s,1,0,1,1,1,1,1,1,1,0,1,0
-8.119926380480 s,1,1,0,1,1,1,0,1,0,0,0,1
-8.118926389840 s,0,0,0,0,1,0,0,1,1,0,0,1
-8.117926398800 s,0,0,0,0,1,0,1,1,0,1,1,0
-8.116926408080 s,1,0,1,0,0,0,0,0,0,1,1,0
-8.115926416720 s,1,1,1,0,0,0,1,1,0,0,0,1
-8.114926425760 s,0,1,0,1,0,0,0,1,1,0,0,1
-8.113926435040 s,0,0,1,0,0,0,1,1,0,1,1,0
-8.112926444080 s,1,0,1,1,0,0,0,0,0,1,1,0
-8.111926453280 s,1,1,0,0,1,0,1,1,0,0,0,1
-8.110926462320 s,1,1,0,0,0,0,0,1,1,0,0,1
-8.109926471040 s,1,1,1,0,1,1,0,1,0,1,1,0
-8.108926480400 s,1,1,0,0,1,0,0,0,0,1,1,0
-8.107926489200 s,1,0,1,1,1,0,1,1,0,0,0,1
-8.106926498160 s,1,0,0,1,1,1,1,0,1,0,0,1
-8.105926507440 s,0,0,1,1,0,1,0,1,0,1,1,0
-8.104926516640 s,1,1,1,0,1,0,0,0,0,1,1,0
-8.103926525440 s,0,1,0,1,0,1,1,1,0,0,0,1
-8.102926534560 s,1,1,0,0,1,1,1,0,1,0,0,1
-8.101926543680 s,0,1,0,0,0,1,0,1,0,1,1,0
-8.100926553120 s,1,0,0,0,0,1,0,0,0,1,1,0
-8.099926561600 s,1,1,0,0,1,1,1,1,0,0,0,1
-8.098926570720 s,0,1,0,1,0,1,1,0,1,0,0,1
-8.097926579840 s,1,1,1,0,1,0,0,1,0,1,1,0
-8.096926589040 s,1,1,1,0,0,1,0,0,0,1,1,0
-8.095926597760 s,0,1,1,1,1,1,1,1,0,0,0,1
-8.094926607360 s,0,0,1,0,0,1,1,0,1,0,0,1
-8.093926616320 s,0,1,1,1,0,0,0,1,0,1,1,0
-8.092926625440 s,1,0,0,0,1,1,0,0,0,1,1,0
-8.091926634800 s,1,1,0,1,0,0,0,0,1,0,0,1
-8.090926643360 s,1,1,0,1,1,0,1,0,1,0,0,1
-8.089926652880 s,1,1,0,0,0,0,0,1,0,1,1,0
-8.088926661760 s,1,1,1,0,1,1,0,0,0,1,1,0
-8.087926670720 s,1,1,0,0,1,0,0,0,1,0,0,1
-8.086926679760 s,0,0,1,0,1,0,1,0,1,0,0,1
-8.085926688480 s,0,1,1,0,1,1,1,0,0,1,1,0
-8.084926698080 s,0,0,1,0,0,0,1,0,0,1,1,0
-8.083926707040 s,1,0,1,1,1,0,0,0,1,0,0,1
-8.082926716000 s,1,0,1,1,0,0,1,0,1,0,0,1
-8.081926725120 s,1,0,1,1,0,1,1,0,0,1,1,0
-8.080926734320 s,1,1,0,1,0,0,1,0,0,1,1,0
-8.079926743280 s,0,1,1,0,0,1,0,0,1,0,0,1
-8.078926752400 s,1,0,1,0,0,0,1,0,1,0,0,1
-8.077926761440 s,1,0,1,0,0,1,1,0,0,1,1,0
-8.076926770720 s,0,1,0,0,1,0,1,0,0,1,1,0
-8.075926779760 s,0,0,0,0,1,1,0,0,1,0,0,1
-8.074926788560 s,1,0,0,1,1,1,0,0,1,0,0,1
-8.073926797680 s,1,1,0,1,1,0,1,0,0,1,1,0
