"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191925310960 s,0,0,0,0,0,0,0,0,0,1,1,0
-8.190925320240 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.189925328160 s,1,1,1,1,1,1,1,1,1,0,0,0
-8.188925337280 s,0,0,0,1,1,1,1,1,1,1,1,1
-8.187925347520 s,0,0,0,0,0,0,0,0,0,1,1,0
-8.186925356560 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.185925364560 s,1,1,1,1,1,1,1,1,1,1,0,0
-8.184925373840 s,0,0,0,1,1,1,1,1,1,1,1,1
-8.183925383680 s,0,0,0,0,0,0,0,0,0,1,1,0
-8.182925393040 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.181925401120 s,1,1,1,1,1,1,1,1,1,1,0,0
-8.180925410000 s,0,0,1,1,1,1,1,1,1,1,1,1
-8.179925420400 s,0,0,0,0,0,0,0,0,0,0,1,0
-8.178925429280 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.177925437600 s,1,1,1,1,1,1,1,1,1,1,0,0
-8.176925446640 s,0,0,1,1,1,1,1,1,1,1,1,1
-8.175925456960 s,0,0,0,0,0,0,0,0,0,0,1,0
-8.174925466000 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.173925474000 s,1,1,1,1,1,1,1,1,1,1,0,0
-8.172925482880 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.171925493360 s,0,0,0,0,0,0,0,0,0,0,1,0
-8.170925502480 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.169925510160 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.168925519200 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.167925529680 s,0,0,0,0,0,0,0,0,0,0,1,0
-8.166925538800 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.165925546640 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.164925555520 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.163925566320 s,0,0,0,0,0,0,0,0,0,0,1,0
-8.162925575200 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.161925583120 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.160925592160 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.159925602640 s,0,0,0,0,0,0,0,0,0,0,1,0
-8.158925611600 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.157925619600 s,0,1,1,1,1,1,1,1,1,1,1,0
-8.156925628400 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.155925638880 s,0,0,0,0,0,0,0,0,0,0,1,0
-8.154925648320 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.153925656080 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.152925664960 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.151925675520 s,0,0,0,0,0,0,0,0,0,0,1,0
-8.150925684800 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.149925693200 s,1,1,1,1,0,1,0,0,0,1,0,1
-8.148925701680 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.147925712240 s,0,0,0,0,0,0,0,0,0,0,1,0
-8.146925721200 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.145925729280 s,1,1,1,1,0,1,1,0,1,1,0,1
-8.144925737840 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.143925748400 s,0,0,0,0,0,1,0,0,0,0,1,0
-8.142925757680 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.141925765760 s,1,1,1,1,1,1,1,0,0,0,1,1
-8.140925774640 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.139925784640 s,0,0,0,0,0,1,1,0,0,0,1,0
-8.138925793840 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.137925802560 s,1,1,1,1,1,0,0,0,1,0,1,1
-8.136925810960 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.135925821120 s,0,0,0,0,0,0,0,1,0,0,1,0
-8.134925830560 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.133925838320 s,1,1,1,1,1,0,1,1,1,0,1,1
-8.132925847440 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.131925857760 s,0,0,0,0,0,0,0,0,0,0,1,0
-8.130925867040 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.129925875120 s,1,1,1,1,1,0,0,1,0,1,1,1
-8.128925883760 s,1,1,1,1,1,1,1,1,1,1,1,0
