Time,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11
-8.191925127360 s,0,0,0,1,1,1,1,1,0,1,0,0
-8.190925136560 s,1,0,0,0,1,0,1,0,0,0,1,0
-8.189925145520 s,0,0,1,0,0,0,0,1,1,1,0,1
-8.188925154640 s,1,1,1,1,0,0,1,0,0,0,1,0
-8.187925163920 s,1,0,0,0,0,0,0,0,1,1,0,1
-8.186925172720 s,0,1,1,0,1,0,1,1,1,1,0,0
-8.185925181760 s,0,0,0,0,1,1,1,1,1,1,0,1
-8.184925191120 s,0,1,0,1,0,1,1,0,1,1,0,0
-8.183925200480 s,1,0,1,0,1,0,1,0,0,0,1,0
-8.182925209760 s,0,0,0,0,1,0,0,1,1,1,0,0
-8.181925218800 s,0,0,0,1,0,1,0,1,0,0,1,1
-8.180925228000 s,1,1,0,0,0,0,1,1,0,1,0,0
-8.179925236480 s,1,1,0,1,0,1,1,1,0,0,1,1
-8.178925246160 s,0,1,1,0,0,0,0,1,0,1,0,0
-8.177925255360 s,1,0,0,0,0,1,0,0,1,0,1,1
-8.176925264240 s,0,1,0,1,1,0,1,1,0,1,0,0
-8.175925273680 s,1,0,1,0,0,0,1,0,1,0,1,1
-8.174925283040 s,0,0,0,0,0,0,1,0,0,1,0,0
-8.173925291440 s,1,0,1,0,1,0,1,0,1,0,1,1
-8.172925301040 s,0,1,1,0,1,1,0,0,0,1,0,0
-8.171925309920 s,1,0,0,0,1,0,1,0,1,0,1,1
-8.170925319440 s,1,0,1,0,0,0,1,0,0,1,0,0
-8.169925328160 s,1,1,0,1,1,1,0,0,1,0,1,1
-8.168925337680 s,0,0,0,0,0,1,1,0,0,1,0,0
-8.167925346640 s,0,0,0,1,1,0,0,0,1,0,1,1
-8.166925355760 s,0,0,0,0,1,0,0,1,0,1,0,0
-8.165925364480 s,1,1,1,1,1,0,1,1,0,0,1,1
-8.164925373840 s,1,1,1,1,0,0,1,1,0,1,0,0
-8.163925383120 s,1,0,0,1,1,0,0,1,0,0,1,1
-8.162925392320 s,1,0,1,1,1,0,0,0,1,1,0,0
-8.161925401360 s,0,0,1,0,0,0,1,0,0,0,1,1
-8.160925410080 s,0,1,1,1,1,1,1,0,1,1,0,0
-8.159925419120 s,1,1,0,1,1,0,1,1,1,1,0,1
-8.158925428720 s,1,0,0,1,0,1,1,1,1,1,0,0
-8.157925437680 s,1,0,0,1,0,1,1,0,1,1,0,1
-8.156925447200 s,1,0,1,0,0,1,1,0,0,0,1,0
-8.155925455920 s,0,1,0,1,0,1,1,1,0,1,0,1
-8.154925465440 s,1,0,0,1,0,1,1,1,0,0,1,0
-8.153925474480 s,0,1,0,0,0,1,1,0,0,1,0,1
-8.152925483360 s,0,1,1,0,1,1,1,0,1,0,1,0
-8.151925492800 s,0,0,0,0,1,0,1,1,1,0,0,1
-8.150925502080 s,1,0,1,1,0,0,0,0,0,1,1,0
-8.149925511040 s,1,0,1,0,1,1,0,0,1,0,0,1
-8.148925520480 s,0,0,0,1,0,1,0,1,0,1,1,0
-8.147925529760 s,0,0,0,1,1,0,0,1,0,0,0,1
-8.146925538320 s,0,1,0,1,0,0,1,0,1,1,1,0
-8.145925547200 s,1,0,0,1,1,1,1,1,1,1,1,0
-8.144925556240 s,0,0,1,1,0,1,1,1,1,1,1,0
