"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930849760 s,0,0,1,0,0,1,0,0,0,0,0,0
-8.190930858560 s,1,0,1,0,0,0,0,0,0,0,0,0
-8.189930866960 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.188930875120 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.187930884000 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.186930892400 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.185930900800 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.184930908880 s,1,1,0,1,0,0,0,0,0,0,0,0
-8.183930917200 s,0,1,1,1,0,1,0,0,0,0,0,0
-8.182930926000 s,1,0,0,1,1,0,1,0,0,0,0,0
-8.181930934320 s,0,1,1,1,0,0,0,1,0,0,0,0
-8.180930942640 s,1,1,0,1,0,0,1,1,0,0,0,0
-8.179930951120 s,1,1,0,0,1,0,0,0,1,0,0,0
-8.178930959680 s,1,0,0,0,0,1,1,0,1,0,0,0
-8.177930967680 s,1,1,1,0,1,1,0,1,1,0,0,0
-8.176930976400 s,0,1,1,0,1,0,0,0,0,1,0,0
-8.175930984480 s,1,1,0,1,1,1,1,0,0,1,0,0
-8.174930992960 s,0,1,0,1,0,1,1,1,0,1,0,0
-8.173931001280 s,1,0,1,1,1,0,1,0,1,1,0,0
-8.172931009600 s,1,0,1,0,1,0,1,1,1,1,0,0
-8.171931018720 s,0,1,0,0,1,0,1,0,0,0,1,0
-8.170931026720 s,0,1,1,0,1,0,1,1,0,0,1,0
-8.169931035120 s,1,1,0,1,1,0,1,0,1,0,1,0
-8.168931043360 s,1,0,1,0,0,1,1,1,1,0,1,0
-8.167931051680 s,1,1,1,1,0,1,1,0,0,1,1,0
-8.166931060080 s,1,1,0,1,1,1,1,1,0,1,1,0
-8.165931068800 s,0,0,1,1,0,0,0,1,1,1,1,0
-8.164931077840 s,1,0,1,0,1,0,0,0,0,0,0,1
-8.163931086240 s,0,0,1,0,0,1,0,1,0,0,0,1
-8.162931094000 s,0,1,1,1,0,1,0,0,1,0,0,1
-8.161931102560 s,0,1,0,1,1,1,0,1,1,0,0,1
-8.160931111360 s,0,1,0,0,0,0,1,0,0,1,0,1
-8.159931119680 s,0,0,0,1,0,0,1,1,0,1,0,1
-8.158931128080 s,1,1,1,0,0,0,1,0,1,1,0,1
-8.157931136320 s,0,0,1,0,0,0,1,1,1,1,0,1
-8.156931145120 s,0,0,0,1,1,1,0,0,0,0,1,1
-8.155931153200 s,1,1,0,1,0,1,0,1,0,0,1,1
-8.154931161680 s,0,1,1,0,1,0,0,0,1,0,1,1
-8.153931169840 s,0,1,0,1,1,1,1,0,1,0,1,1
-8.152931178400 s,0,0,0,1,1,0,1,1,1,0,1,1
-8.151931187120 s,0,0,1,1,0,1,0,0,0,1,1,1
-8.150931195280 s,1,0,0,1,1,1,1,0,0,1,1,1
-8.149931203520 s,1,0,1,1,1,1,0,1,0,1,1,1
-8.148931212000 s,0,0,0,1,1,1,1,1,0,1,1,1
