"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.184959531840 s,0,0,1,0,0,1,0,1,1,0,0,0
-8.183959536400 s,0,0,0,1,1,0,1,0,1,1,0,0
-8.182959541600 s,1,0,1,0,1,0,1,0,0,1,1,1
-8.181959546480 s,1,0,1,0,1,1,1,0,0,0,1,1
-8.180959551280 s,1,0,0,1,0,0,0,1,1,0,0,0
-8.179959556400 s,0,0,1,0,0,0,0,1,1,1,0,0
-8.178959561120 s,0,0,0,0,1,1,1,0,0,1,1,1
-8.177959566560 s,0,0,0,0,1,0,1,0,0,0,1,1
-8.176959571440 s,1,0,0,1,0,1,1,0,1,0,0,0
-8.175959576000 s,1,0,0,1,0,1,0,1,1,1,0,0
-8.174959581200 s,0,0,1,1,0,0,0,1,0,1,1,1
-8.173959586240 s,0,0,1,0,0,1,0,0,0,0,1,1
-8.172959591280 s,1,0,0,0,1,0,1,0,1,0,0,0
-8.171959595440 s,0,0,1,0,1,0,1,1,1,1,0,0
-8.170959600560 s,1,0,1,0,0,1,0,1,0,1,1,1
-8.169959605840 s,1,0,0,1,1,1,1,1,1,1,0,1
-8.168959610960 s,1,0,1,0,1,1,0,0,1,0,0,0
-8.167959616000 s,0,0,0,0,0,0,0,0,0,0,1,0
-8.166959620560 s,0,0,0,0,0,0,1,1,0,1,1,1
-8.165959625600 s,1,0,1,1,0,0,1,1,1,1,0,1
-8.164959630640 s,0,0,1,1,1,0,0,0,1,0,0,0
-8.163959635760 s,0,0,1,1,0,1,0,0,0,0,1,0
-8.162959640080 s,0,0,0,1,1,0,1,1,0,1,1,1
-8.161959645360 s,1,0,0,0,0,1,0,1,1,1,0,1
-8.160959650560 s,0,0,0,1,0,0,0,0,1,0,0,0
-8.159959655440 s,1,0,1,0,1,0,1,0,0,0,1,0
-8.158959660000 s,0,0,1,1,0,1,1,1,0,1,1,1
-8.157959664880 s,0,0,1,0,1,1,1,0,1,1,0,1
-8.156959670000 s,1,0,0,1,0,1,1,1,0,0,0,0
-8.155959675280 s,0,0,1,0,0,0,0,1,0,0,1,0
-8.154959679920 s,1,0,1,0,0,0,0,0,1,1,1,1
-8.153959685120 s,0,0,0,1,0,0,1,0,1,1,0,1
-8.152959690160 s,0,0,0,1,1,0,1,1,0,0,0,0
-8.151959695120 s,0,0,0,0,1,1,0,1,0,0,1,0
-8.150959699600 s,1,0,0,1,1,0,0,0,1,1,1,1
-8.149959704400 s,0,0,1,1,1,0,0,0,1,1,0,1
-8.148959709840 s,0,0,1,0,0,0,1,1,0,0,0,0
-8.147959714560 s,0,0,1,1,1,0,1,1,0,0,1,0
-8.146959719600 s,0,0,1,1,0,1,0,0,1,1,1,1
-8.145959724480 s,1,0,0,1,0,1,1,1,0,1,0,1
-8.144959729680 s,0,0,0,0,1,1,0,1,0,0,0,0
-8.143959734480 s,1,0,1,1,0,0,0,0,1,0,1,0
-8.142959739120 s,1,0,0,0,0,0,1,0,1,1,1,1
-8.141959744240 s,0,0,1,1,1,1,0,1,0,1,0,1
-8.140959749440 s,1,0,1,1,1,0,0,1,0,0,0,0
-8.139959754080 s,0,0,1,1,1,1,0,0,1,0,1,0
-8.138959758960 s,1,0,1,1,0,0,1,0,1,1,1,1
-8.137959764160 s,0,0,1,1,0,0,0,1,0,1,0,1
-8.136959768960 s,0,0,1,1,0,0,0,1,0,0,0,0
-8.135959773920 s,0,0,0,1,0,1,1,0,1,0,1,0
-8.134959778880 s,1,0,1,1,1,0,1,0,1,1,1,1
-8.133959784000 s,1,0,0,1,1,0,1,0,0,1,0,1
-8.132959788880 s,0,0,1,1,1,1,1,0,0,0,0,0
