"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930866080 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.190930874640 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.189930883040 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.188930891440 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.187930899760 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.186930908320 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.185930916880 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.184930925280 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.183930933760 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.182930941920 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.181930950480 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.180930959200 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.179930967360 s,1,1,1,1,1,1,1,1,1,1,0,1
-8.178930975760 s,1,1,1,1,1,1,1,1,1,1,0,1
-8.177930984800 s,0,1,1,1,1,1,0,0,1,0,1,1
-8.176930992960 s,1,1,1,1,1,1,1,0,1,0,1,1
-8.175931001600 s,1,1,1,1,0,0,1,1,1,0,1,1
-8.174931009680 s,1,1,1,1,0,1,1,1,1,0,1,1
-8.173931018000 s,1,1,1,1,1,1,1,1,1,0,1,1
-8.172931027360 s,0,0,0,1,1,0,0,0,0,1,1,1
-8.171931035840 s,0,0,1,0,1,0,0,0,0,1,1,1
-8.170931044160 s,1,0,0,1,1,1,0,0,1,0,1,1
-8.169931052240 s,1,1,1,0,1,0,1,1,1,0,0,1
-8.168931060960 s,0,0,0,1,0,0,1,1,1,1,1,0
-8.167931068880 s,1,1,1,0,1,1,0,1,1,1,1,0
-8.166931077840 s,0,0,1,0,1,1,0,1,1,1,1,0
-8.165931086320 s,0,0,0,0,1,1,0,1,1,1,1,0
-8.164931094640 s,0,1,1,0,0,1,0,1,1,1,1,0
-8.163931102960 s,0,0,1,1,1,0,0,1,1,1,1,0
-8.162931111440 s,1,1,0,0,1,0,0,1,1,1,1,0
-8.161931120080 s,0,0,1,1,0,0,0,1,1,1,1,0
-8.160931127920 s,1,1,1,1,1,1,1,0,1,1,1,0
-8.159931136480 s,1,1,1,1,1,1,1,0,1,1,1,0
-8.158931144720 s,1,1,1,1,1,1,1,0,1,1,1,0
-8.157931153600 s,1,1,1,1,0,0,0,1,1,1,1,0
-8.156931162000 s,1,1,0,1,1,0,0,1,1,1,1,0
-8.155931170560 s,1,1,0,1,0,1,0,1,1,1,1,0
-8.154931179200 s,1,0,0,1,0,0,1,1,1,1,1,0
-8.153931186960 s,0,1,1,1,1,0,1,1,1,1,1,0
-8.152931196080 s,1,0,0,1,0,0,1,1,1,1,1,0
-8.151931204080 s,1,1,0,0,1,1,0,1,1,1,1,0
-8.150931212640 s,1,1,1,0,0,0,1,1,1,1,1,0
-8.149931220960 s,0,1,1,0,1,0,1,1,1,1,1,0
-8.148931229200 s,1,1,0,1,1,0,1,1,1,1,1,0
