"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930804400 s,0,1,0,1,0,1,1,1,0,0,0,1
-8.190930812640 s,0,1,1,0,0,0,0,1,1,1,1,0
-8.189930821200 s,0,1,0,0,1,0,0,1,0,1,1,0
-8.188930830160 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.187930838080 s,1,1,1,0,0,1,1,1,0,0,0,1
-8.186930846960 s,0,0,0,0,0,0,0,1,1,1,1,0
-8.185930855120 s,1,0,1,0,1,0,0,1,0,1,1,0
-8.184930864080 s,0,0,1,0,0,0,0,0,0,0,0,1
-8.183930871840 s,0,1,1,0,0,1,1,1,0,0,0,1
-8.182930879920 s,0,0,0,1,1,1,1,0,1,1,1,0
-8.181930888800 s,1,1,1,0,1,0,0,1,0,1,1,0
-8.180930897680 s,1,0,0,1,0,0,0,0,0,0,0,1
-8.179930905760 s,0,1,1,0,0,1,1,1,0,0,0,1
-8.178930914000 s,0,0,0,0,1,1,1,0,1,1,1,0
-8.177930922480 s,1,1,1,0,1,0,0,1,0,1,1,0
-8.176930931280 s,1,1,1,1,0,0,0,0,0,0,0,1
-8.175930939680 s,0,1,0,0,0,1,1,1,0,0,0,1
-8.174930947840 s,1,0,0,1,0,1,1,0,1,1,1,0
-8.173930956400 s,0,1,0,1,1,0,0,1,0,1,1,0
-8.172930965200 s,0,0,0,1,1,0,0,0,0,0,0,1
-8.171930973520 s,0,1,0,0,0,1,1,1,0,0,0,1
-8.170930981760 s,0,1,0,0,0,1,1,0,1,1,1,0
-8.169930990240 s,0,0,1,1,1,0,0,1,0,1,1,0
-8.168930999040 s,0,0,0,0,0,1,0,0,0,0,0,1
-8.167931007440 s,0,0,0,0,0,1,1,1,0,0,0,1
-8.166931015120 s,0,1,0,1,1,0,1,0,1,1,1,0
-8.165931024480 s,0,0,0,0,0,1,0,1,0,1,1,0
-8.164931032800 s,1,0,1,0,0,1,0,0,0,0,0,1
-8.163931040880 s,0,0,1,1,1,0,1,1,0,0,0,1
-8.162931049040 s,0,0,1,0,1,0,1,0,1,1,1,0
-8.161931057920 s,0,1,0,0,0,1,0,1,0,1,1,0
-8.160931066320 s,0,0,1,1,0,1,0,0,0,0,0,1
