"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930739120 s,1,1,0,1,0,1,0,0,1,1,0,1
-8.190930747760 s,1,0,0,1,0,1,0,0,0,1,0,1
-8.189930756000 s,1,0,0,1,0,1,1,1,0,0,0,1
-8.188930764400 s,0,1,0,0,1,0,0,1,1,1,1,0
-8.187930772800 s,1,1,0,1,1,1,0,0,0,1,1,0
-8.186930781520 s,0,1,0,0,1,0,0,0,1,0,1,0
-8.185930790160 s,1,1,0,1,0,1,0,0,0,0,1,0
-8.184930798160 s,0,1,1,0,0,1,0,1,1,1,0,0
-8.183930806880 s,0,0,1,1,0,0,0,1,1,1,0,0
-8.182930815200 s,0,0,0,0,0,1,1,1,1,1,0,0
-8.181930823920 s,1,1,0,1,1,0,0,1,0,0,1,0
-8.180930832000 s,1,1,0,1,0,1,0,1,1,0,1,0
-8.179930840240 s,0,1,0,0,1,1,1,1,0,1,1,0
-8.178930849280 s,1,1,1,1,0,0,1,0,0,0,0,1
-8.177930857280 s,0,1,1,1,1,0,0,1,1,0,0,1
-8.176930866080 s,1,1,0,0,0,0,1,1,0,1,0,1
-8.175930874400 s,0,0,1,0,1,0,0,1,1,1,0,1
-8.174930883200 s,0,1,1,0,0,0,0,0,0,0,1,1
-8.173930891440 s,0,1,0,1,0,0,0,0,0,0,1,1
-8.172930899360 s,1,0,1,1,1,0,0,1,1,1,0,1
-8.171930908080 s,1,1,1,1,0,0,1,1,0,1,0,1
-8.170930916720 s,1,0,0,0,1,1,0,1,1,0,0,1
-8.169930925520 s,1,1,0,0,0,1,1,0,0,0,0,1
-8.168930933520 s,0,1,0,1,0,0,0,0,1,1,1,0
-8.167930941600 s,0,1,1,1,1,1,0,1,1,0,1,0
-8.166930950640 s,1,1,0,1,0,1,0,1,0,0,1,0
-8.165930958720 s,0,1,0,1,0,1,1,1,1,1,0,0
-8.164930967280 s,0,1,1,1,0,0,0,1,1,1,0,0
-8.163930976080 s,0,0,0,0,0,1,0,1,1,1,0,0
-8.162930984560 s,1,0,1,1,1,0,0,0,0,0,1,0
-8.161930992480 s,0,1,1,1,1,1,1,1,0,0,1,0
-8.160931001440 s,0,0,0,1,0,1,0,0,0,1,1,0
-8.159931009280 s,0,1,0,1,1,1,1,0,1,1,1,0
-8.158931018160 s,0,1,1,0,1,0,1,1,0,0,0,1
-8.157931026640 s,1,1,1,0,1,0,0,0,0,1,0,1
-8.156931034880 s,0,1,1,1,1,0,0,0,1,1,0,1
-8.155931043200 s,1,1,1,1,0,0,1,1,1,1,0,1
-8.154931052240 s,0,0,1,0,1,0,0,0,0,0,1,1
-8.153931060160 s,1,0,0,1,0,1,1,1,1,1,0,1
-8.152931068560 s,1,1,1,0,1,0,1,0,1,1,0,1
-8.151931077200 s,0,1,1,0,0,1,1,0,0,1,0,1
-8.150931085920 s,1,0,0,0,1,1,0,0,1,0,0,1
-8.149931093840 s,1,0,1,1,1,0,1,1,1,1,1,0
-8.148931102880 s,0,0,1,0,0,0,0,1,0,1,1,0
-8.147931111120 s,1,0,1,1,0,0,1,0,1,0,1,0
-8.146931119680 s,1,0,1,0,1,0,1,0,0,0,1,0
-8.145931127920 s,1,0,0,1,1,1,0,1,1,1,0,0
-8.144931136880 s,0,0,0,1,0,0,0,1,1,1,0,0
-8.143931145040 s,1,0,1,0,0,0,1,1,1,1,0,0
-8.142931153520 s,0,0,1,1,0,1,1,0,0,0,1,0
-8.141931161760 s,1,1,0,1,0,1,1,0,1,0,1,0
-8.140931170400 s,1,1,0,1,0,1,0,1,0,1,1,0
-8.139931179360 s,1,1,0,0,0,0,0,0,0,0,0,1
