"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191929161120 s,0,1,1,1,1,0,1,0,0,0,0,1
-8.190929169520 s,0,0,1,1,0,0,0,0,1,1,1,0
-8.189929179120 s,1,0,0,1,0,0,1,1,1,0,1,0
-8.188929187120 s,1,0,0,1,1,1,0,1,0,0,1,0
-8.187929195280 s,1,1,0,1,1,1,1,1,1,1,0,0
-8.186929204640 s,1,1,1,1,1,0,0,1,1,1,0,0
-8.185929211920 s,1,0,0,1,0,1,0,1,1,1,0,0
-8.184929222560 s,0,0,0,1,1,1,0,0,0,0,1,0
-8.183929230480 s,0,1,1,0,0,0,1,0,1,0,1,0
-8.182929239360 s,1,1,1,0,1,0,1,0,0,1,1,0
-8.181929247680 s,0,1,0,0,0,0,0,1,1,1,1,0
-8.180929256640 s,1,0,0,0,0,0,1,1,0,0,0,1
-8.179929263680 s,1,0,1,1,1,0,1,1,1,0,0,1
-8.178929273360 s,1,1,1,1,1,1,0,1,0,1,0,1
-8.177929283520 s,1,0,0,1,0,0,0,1,1,1,0,1
-8.176929290720 s,0,0,0,1,0,1,1,1,1,1,0,1
-8.175929299360 s,0,1,0,0,1,0,1,1,1,1,0,1
-8.174929308080 s,0,0,1,0,0,0,1,0,1,1,0,1
-8.173929316240 s,0,1,0,0,1,0,1,0,0,1,0,1
-8.172929324960 s,0,1,1,0,0,1,0,0,1,0,0,1
-8.171929333600 s,1,1,0,1,1,0,1,1,1,1,1,0
-8.170929342720 s,0,1,0,1,0,0,0,1,0,1,1,0
-8.169929350640 s,0,0,1,0,1,0,1,0,1,0,1,0
-8.168929359680 s,1,0,1,0,0,1,1,0,0,0,1,0
-8.167929368400 s,1,0,1,1,0,0,1,1,1,1,0,0
-8.166929378000 s,1,1,1,0,1,0,0,1,1,1,0,0
-8.165929386480 s,0,0,0,0,1,0,1,1,1,1,0,0
-8.164929394480 s,0,1,1,1,1,0,0,1,0,0,1,0
-8.163929403360 s,1,1,1,1,0,1,0,1,1,0,1,0
-8.162929412800 s,1,0,0,1,0,0,1,1,0,1,1,0
-8.161929419680 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.160929428480 s,1,1,1,0,1,1,0,0,1,0,0,1
-8.159929438560 s,0,0,1,1,1,1,0,0,0,1,0,1
-8.158929445360 s,0,0,1,0,1,0,0,0,1,1,0,1
-8.157929456080 s,1,0,0,1,1,1,0,1,1,1,0,1
-8.156929462880 s,0,0,1,1,0,1,1,1,1,1,0,1
-8.155929471920 s,1,1,1,0,0,1,0,1,1,1,0,1
-8.154929480000 s,1,0,1,1,0,1,1,1,0,1,0,1
-8.153929489680 s,1,1,1,1,1,0,1,1,1,0,0,1
-8.152929498160 s,1,0,1,0,0,1,0,1,0,0,0,1
-8.151929508080 s,0,1,1,0,1,0,1,0,1,1,1,0
-8.150929516000 s,0,1,0,1,0,0,0,0,0,1,1,0
-8.149929524880 s,0,0,1,1,0,1,1,1,0,0,1,0
-8.148929532480 s,0,1,1,1,1,0,0,0,0,0,1,0
-8.147929541680 s,1,1,0,1,0,1,0,1,1,1,0,0
-8.146929550080 s,0,1,1,1,1,0,0,1,1,1,0,0
-8.145929559360 s,0,1,1,1,0,0,0,0,0,0,1,0
-8.144929567120 s,1,1,0,1,0,0,0,0,1,0,1,0
-8.143929577440 s,0,1,0,1,1,0,0,0,0,1,1,0
-8.142929586400 s,0,0,1,1,1,1,0,0,1,1,1,0
-8.141929593840 s,0,1,0,1,1,1,1,0,0,0,0,1
-8.140929602720 s,1,1,1,0,0,1,0,1,1,0,0,1
-8.139929610080 s,0,0,1,0,1,0,0,1,0,1,0,1
-8.138929620640 s,0,1,1,1,1,0,1,0,1,1,0,1
-8.137929628880 s,1,0,1,1,1,0,1,1,1,1,0,1
-8.136929637360 s,0,0,0,0,0,1,1,1,1,1,0,1
-8.135929646080 s,1,1,0,1,0,1,1,0,1,1,0,1
-8.134929655360 s,0,0,1,1,0,0,0,1,0,1,0,1
